"File"	"Speaker"	"Wordcount"
"DGZ053"	"??"	12
"DGZ053"	"AQ"	14
"DGZ053"	"CS"	207
"DGZ053"	"EW"	309
"DGZ053"	"JM"	1333
"DGZ053"	"PK"	226
"DGZ053"	"X1"	345
"DGZ053"	"X2"	87
"DGZ054"	"??"	40
"DGZ054"	"AM"	147
"DGZ054"	"BN"	76
"DGZ054"	"EV"	33
"DGZ054"	"JY"	1380
"DGZ054"	"NL"	149
"DGZ054"	"TD"	253
"DGZ055"	"CN"	66
"DGZ055"	"SE"	42
"DGZ055"	"XX"	25
"DGZ056"	"CT"	132
"DGZ056"	"SE"	96
"DGZ056"	"XX"	49
"DGZ057"	"CT"	137
"DGZ057"	"SE"	51
"DGZ058"	"FG"	459
"DGZ058"	"MA"	371
"DGZ060"	"??"	1
"DGZ060"	"AD"	821
"DGZ060"	"CL"	483
"DGZ060"	"DI"	371
"DGZ060"	"JS"	931
"DGZ060"	"XX"	810
"DGZ062"	"KA"	818
"DGZ062"	"RA"	885
"DGZ062"	"SU"	472
"DGZ063"	"CH"	566
"DGZ063"	"JK"	374
"DGZ064"	"??"	6
"DGZ064"	"BB"	282
"DGZ064"	"DA"	1479
"DGZ064"	"FD"	224
"DGZ064"	"KC"	267
"DGZ064"	"X1"	122
"DGZ064"	"X2"	296
"DGZ064"	"X3"	35
"DGZ064"	"X4"	7
"DGZ065"	"??"	1
"DGZ065"	"AP"	939
"DGZ065"	"BF"	527
"DGZ065"	"CO"	112
"DGZ065"	"ES"	211
"DGZ065"	"YD"	382
"DGZ066"	"??"	5
"DGZ066"	"BB"	32
"DGZ066"	"DV"	144
"DGZ066"	"LC"	208
"DGZ066"	"MG"	665
"DGZ066"	"RR"	327
"DGZ066"	"ST"	1029
"DGZ067"	"??"	28
"DGZ067"	"AN"	1055
"DGZ067"	"JU"	217
"DGZ067"	"KE"	12
"DGZ067"	"LO"	574
"DGZ067"	"RH"	29
"DGZ067"	"SQ"	201
"DGZ068"	"??"	20
"DGZ068"	"AN"	28
"DGZ068"	"BT"	11
"DGZ068"	"GL"	202
"DGZ068"	"KI"	388
"DGZ068"	"LI"	15
"DGZ068"	"MK"	1287
"DGZ068"	"VV"	118
"DGZ068"	"ZZ"	92
"DGZ069"	"CD"	838
"DGZ069"	"SL"	1052
"DGZ070"	"CM"	575
"DGZ070"	"PL"	57
"DGZ070"	"SF"	827
"DGZ071"	"AN"	58
"DGZ071"	"ME"	9
"DGZ071"	"TR"	896
"DGZ071"	"WL"	868
"DGZ071"	"XX"	1633
"DGZ072"	"??"	7
"DGZ072"	"JN"	25
"DGZ072"	"KB"	2
"DGZ072"	"ME"	116
"DGZ072"	"PH"	1
"DGZ072"	"TR"	249
"DGZ072"	"WL"	1792
"DGZ072"	"XX"	5
"DGZ073"	"CF"	329
"DGZ073"	"SM"	1567
"DGZ075"	"CB"	261
"DGZ075"	"SA"	476
"DGZ075"	"XX"	20
"DGZ077"	"JF"	88
"DGZ077"	"PK"	27
"DGZ078"	"CJ"	141
"DGZ078"	"ST"	113
"DGZ079"	"??"	9
"DGZ079"	"CR"	267
"DGZ079"	"GT"	981
"DGZ079"	"LN"	454
"DGZ079"	"ML"	911
"DGZ079"	"RB"	429
"DGZ079"	"SA"	484
"DGZ079"	"X1"	233
"DGZ079"	"X2"	18
